,Id,Soil type,StuckInMud,VisibleSnow,Town,Area,Date,EPSG,Latitude,Longitude,NSDSI1,NSDSI2,NSDSI3,SurfaceTemp,NSDSI1-2week,NSDSI2-2week,NSDSI3-2week,SurfaceTemp-2week,NSDSI1-4week,NSDSI2-4week,NSDSI3-4week,SurfaceTemp-4week
47,48,chernozems,False,False,Mykolaivka,Vrubivka,2022-09-19,32637,449581.22576527135,5401874.219660923,0.1161038961038961,0.13135468704084632,0.061629670481180204,39651.0,0.14939844302901628,0.1756385722605874,0.0807296646143256,47882.0,0.15180265654648956,0.1789709172259508,0.08213552361396304,
48,49,chernozems,False,False,Soledar,Soledar,2022-09-28,32637,435061.2047543379,5392502.403411585,0.05626712546995476,0.05962187711006077,0.028947972330590432,28925.0,0.05626712546995476,0.05962187711006077,0.028947972330590432,28925.0,0.09195402298850575,0.10126582278481013,0.04819277108433735,50222.0
49,50,chernozems,False,False,Spirne,Vrubivka,2022-05-10,32637,447161.1396324135,5405414.286348798,0.11952352109832425,0.13574868149506994,0.06356023190895427,46965.0,0.09970326409495549,0.11074489123269611,0.05246720799500312,45073.0,0.06159818828857975,0.06564159139488382,0.03177782228453168,43550.0
50,51,chernozems,False,False,Pisky,Pisky,2022-05-10,32637,398395.00614175096,5324020.589308659,,,,,0.07982863263120314,0.0867540932722899,0.0415737022162725,,,,,
51,52,chernozems,False,False,Spirne,Vrubivka,2022-08-10,32637,445355.1283582138,5408447.824720401,,,,,0.13673740053050398,0.15839606698417574,0.07338600612143213,,0.141410662625706,0.16470116325711995,0.07608494237112255,46415.0
52,53,chernozems,False,False,Novoselivs'ke,Svatove,2022-09-10,32637,422342.3593434068,5486868.231205602,0.1567956418494203,0.18595212457549903,0.08506687886021749,48064.0,,,,,,,,
53,54,chernozems,False,False,Opytne,Pisky,2022-10-24,32637,402609.2045415711,5325930.0055968175,0.11945023550304995,0.13565415643633813,0.0635187846438103,40963.0,0.168323157745279,0.20239009816474604,0.09189566295880004,42280.0,0.17022635350883417,0.20514793911407558,0.0930313723969442,42281.0
54,55,chernozems,False,False,Mariinka,Mariinka,2022-10-24,32637,388883.35885206424,5312706.522669807,0.1211851191802183,0.13789607097591888,0.06450082997391511,41333.0,0.1266009127042544,0.1449519635934603,0.06757818639006757,43305.0,,,,
55,56,podzolic,False,False,Chervonopopivka,Lyman,2022-10-30,32637,434201.24283646024,5440560.980085229,0.18407255207595297,0.2255991663772143,0.10136558720249707,41147.0,0.18407255207595297,0.2255991663772143,0.10136558720249707,41147.0,,,,
56,57,chernozems,False,False,Pyatykhatky,Kherson,2022-10-29,32636,541171.4854131936,5225016.089166052,0.09714809873248832,0.1076013669529879,0.05105394627284281,43805.0,0.09714809873248832,0.1076013669529879,0.05105394627284281,43805.0,,,,
